Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
14/12/2019,Sim,,TI,Sistemas,Não,Não,,,Sim,Sim
14/12/2019,Sim,,Segurança do trabalho,,Não,Não,,,Sim,
18/07/2020,,,,,,Aguardando,,,,
18/07/2020,Sim,,TI,Dev,Sim,Sim,,,Sim,
18/07/2020,Não,Procurando,,,,Sim,,,Sim,
18/07/2020,Sim,,Administração,,Sim,Não,Santuário Nacional de Aparecida,,Sim,
18/07/2020,Sim,,TI,Dev,Sim,Não,,,Sim,Sim
18/07/2020,Sim,,TI,Dev,Sim,Não,Líax,,Sim,
18/07/2020,Sim,,TI,Dev,Sim,Não,PagBank,Sim,Sim,
18/07/2020,,,,,,Aguardando,,,,
27/08/2020,Não,Procurando,,,,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dados,Sim,,Hospital Frei Galvão,,Sim,
27/08/2020,Sim,,TI,Infraestrutura,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Sistemas,Sim,,MyFly Automação Comercial,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,,,,,,Aguardando,,,,
27/08/2020,Sim,,Produção,,Não,,Liebherr,,Sim,
27/08/2020,Sim,,TI,Sistemas,Sim,,Liebherr,,Sim,
27/08/2020,Sim,,Administração,,Não,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,Audio Vertical,,Sim,
27/08/2020,,,,,,Aguardando,,,,
27/08/2020,Sim,,TI,Infraestrutura,Sim,,ELIS,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/08/2020,Sim,,TI,Dev,Sim,,,,Sim,
27/10/2020,Sim,,TI,Dev,Sim,,Blox,,Sim,
18/03/2021,Sim,,TI,Dev,Sim,,Canção Nova,,Sim,
